pair,open_time,close_time,side,alpha,beta,half_life_minutes,qty_y,qty_x,entry_price_y,entry_price_x,exit_price_y,exit_price_x,u_entry,u_exit,spread_change,entry_z,exit_z,z_change,pnl,fees,reason
XLF-KBE,2022-11-16 16:26:00+00:00,2022-11-17 14:32:00+00:00,1,16.457634015278234,0.9401219376076411,542.5293357874622,507.55926809204277,-477.1676025694074,48.545,35.22,47.64,34.85,-1.0237286578193476,-1.580883540904523,-0.5571548830851754,-2.9109945159205632,-3.0454692698465533,-0.13447475392599006,-284.82959539669224,2.0404707240724385,adverse
JPM-BAC,2022-11-17 14:33:00+00:00,2022-11-17 14:34:00+00:00,1,3.6059155142099195,0.25724197980333185,462.3506499853106,598.4303707906006,-153.94141335661607,36.96,131.95,36.97,132.16,-0.5889947492595553,-0.6330155650182547,-0.04402081575869943,-2.677290418810718,-3.0340835810329883,-0.3567931622222704,-28.46683649685273,2.123443399866944,adverse
UPS-FDX,2022-11-16 15:28:00+00:00,2022-11-17 14:35:00+00:00,1,-30.450172403158493,1.1200625397602408,326.5447473209204,232.7825802773646,-260.73104807740714,172.42,179.2,169.06,174.51,2.154965278123342,4.048058589598867,1.8930933114755248,-2.8568475481006907,-0.26610450964793025,2.5907430384527603,436.4364258400133,4.242719911083979,mean_revert
SLB-HAL,2022-11-16 16:27:00+00:00,2022-11-17 14:37:00+00:00,-1,0.23291121324222872,0.6991272926786252,719.7262196222256,-670.5188988660693,468.7780624540879,38.52,53.95,36.84,51.98,0.5691713467459465,0.2664521133228419,-0.3027192334231046,1.6544927385583277,0.29915661261557264,-1.355336125942755,200.5255170644108,2.4534499960294744,mean_revert
JPM-BAC,2022-11-17 14:35:00+00:00,2022-11-17 14:38:00+00:00,1,3.6059155142099195,0.25724197980333185,462.3506499853106,531.205464661783,-136.6483454119459,37.01,132.17,36.93,132.02,-0.5955879848162908,-0.637001687845796,-0.0414137030295052,-2.7166468885938357,-3.0359609403848573,-0.31931405179102157,-23.8820719797152,1.8828866185622375,adverse
TMO-DHR,2022-11-16 18:34:00+00:00,2022-11-17 14:43:00+00:00,-1,-69.87977519946801,0.6419927813953917,215.05846859345453,-212.52194387059214,136.43755385303677,265.71,534.52,259.505,526.15,-7.568206311996789,-8.399726731717351,-0.8315204197205617,1.6504879758873299,0.3883614832788924,-1.2621264926084375,170.36947966690673,6.346856300195665,mean_revert
XLF-KBE,2022-11-17 14:42:00+00:00,2022-11-17 14:43:00+00:00,1,16.457634015278234,0.9401219376076411,542.5293357874622,256.7503936184657,-241.3766775301165,47.66,34.89,47.59,34.86,-1.5984884184088344,-1.6402847602805934,-0.04179634187175907,-2.9503236947715505,-3.0695034350915718,-0.11917974032002121,-11.762884337937209,1.0316571105501322,adverse
JPM-BAC,2022-11-17 14:39:00+00:00,2022-11-17 14:45:00+00:00,1,3.6059155142099195,0.25724197980333185,462.3506499853106,529.16293687803,-136.12292152104996,36.88,131.7,36.875,131.93,-0.6046842543087152,-0.6688499096634928,-0.06416565535477758,-2.762015343568679,-3.238678965718925,-0.4766636221502458,-35.82766565091795,1.873579016682474,adverse
JPM-BAC,2022-11-17 14:46:00+00:00,2022-11-17 14:47:00+00:00,1,3.6059155142099195,0.25724197980333185,462.3506499853106,651.8506786628228,-167.68335911537002,36.91,131.95,36.85,131.89,-0.6389947492595596,-0.6835602304713504,-0.044565481211790825,-2.9842857038919877,-3.3336760802656533,-0.34939037637366566,-31.3568619599662,2.3068227871225586,adverse
XLV-IHI,2022-11-17 14:30:00+00:00,2022-11-17 14:56:00+00:00,1,23.427189206601746,0.2021106789087966,725.4343359921826,1407.0415414171482,-284.3781211886995,51.01,132.48,50.51,131.97,0.8071880515608783,0.4102644978043628,-0.39692355375651545,-1.7795711702420534,-3.048306984360921,-1.2687358141188676,-563.9178813478526,5.42995244551264,adverse
